Learning Rate	Train Loss	Test Loss	TrainLoss Interior	TrainLoss Bndry	Trainloss Init	Trainloss Shock	
0.01000000	5.08764840	0.00159757	0.00041411	0.00492295	0.00387912	0.00004389	
0.01000000	5.03418089	0.00136131	0.00041264	0.00460738	0.00372387	0.00004004	
0.01000000	5.28138083	0.00125027	0.00040298	0.00457548	0.00389150	0.00005212	
0.01000000	5.22786697	0.00132961	0.00040356	0.00397729	0.00386439	0.00004341	
0.01000000	4.64212433	0.00127922	0.00040042	0.00357938	0.00348402	0.00003212	
0.01000000	4.75595833	0.00127402	0.00039434	0.00345355	0.00362527	0.00002927	
0.01000000	4.64087517	0.00112760	0.00039138	0.00329078	0.00352276	0.00004724	
0.01000000	4.79781384	0.00107364	0.00038925	0.00286660	0.00351875	0.00002747	
0.01000000	4.50858918	0.00130161	0.00038504	0.00279739	0.00341458	0.00007104	
0.01000000	4.81538358	0.00094475	0.00038772	0.00272165	0.00349776	0.00022848	
0.01000000	5.04856449	0.00163505	0.00038988	0.00261092	0.00341138	0.00054778	
0.01000000	4.75951989	0.00107967	0.00038170	0.00217303	0.00330738	0.00019138	
0.01000000	4.37028609	0.00088907	0.00037439	0.00196899	0.00329533	0.00010389	
0.01000000	4.16337492	0.00087926	0.00036780	0.00189878	0.00332221	0.00003942	
0.01000000	4.24461150	0.00101761	0.00036394	0.00177514	0.00319679	0.00005396	
0.01000000	4.35167184	0.00088387	0.00036244	0.00159804	0.00320326	0.00003854	
0.01000000	4.39144379	0.00069804	0.00035762	0.00151148	0.00323929	0.00004996	
0.01000000	4.16897080	0.00139541	0.00035950	0.00163519	0.00305229	0.00027864	
0.01000000	4.74786403	0.00071290	0.00036213	0.00177560	0.00318724	0.00045945	
0.01000000	4.18555816	0.00070018	0.00035487	0.00120503	0.00298333	0.00017823	
0.01000000	4.35860580	0.00101597	0.00035109	0.00124096	0.00300034	0.00018587	
0.01000000	3.89333937	0.00099553	0.00034559	0.00103384	0.00294403	0.00007396	
0.01000000	3.92594985	0.00060234	0.00034330	0.00115798	0.00288212	0.00012852	
0.01000000	3.78475670	0.00083751	0.00033920	0.00098987	0.00281265	0.00011308	
0.01000000	3.80836123	0.00071666	0.00033624	0.00089213	0.00285672	0.00003939	
0.01000000	3.90252199	0.00051569	0.00033396	0.00087384	0.00287319	0.00004003	
0.01000000	3.86011931	0.00131254	0.00033499	0.00099394	0.00276275	0.00023201	
0.01000000	4.32496155	0.00053668	0.00033986	0.00128565	0.00279697	0.00042259	
0.01000000	3.87856672	0.00060459	0.00032716	0.00081215	0.00267083	0.00017380	
0.01000000	3.65001899	0.00092503	0.00032644	0.00070368	0.00270882	0.00010872	
0.01000000	3.71858055	0.00050059	0.00032043	0.00080003	0.00263536	0.00012590	
0.01000000	3.48470101	0.00050495	0.00031744	0.00059635	0.00264990	0.00003548	
0.01000000	3.51183152	0.00072454	0.00031530	0.00062133	0.00256973	0.00006750	
