Learning Rate	Train Loss	Test Loss	TrainLoss Interior	TrainLoss Bndry	Trainloss Init	Trainloss Shock	
0.01000000	15155.44220169	0.85304517	43.56843482	8.54413180	4.25191457	5.80828552	
0.01000000	1147.31975942	1.37074614	4.49607444	0.98652835	0.37517862	0.40490412	
0.01000000	885.02715102	0.12588379	0.68244307	1.07784482	0.32045997	0.33307954	
0.01000000	528.61635887	0.16662236	2.00167058	0.11655326	0.07526191	0.41862984	
0.01000000	268.06396841	0.37470993	0.82683533	0.24526845	0.17220002	0.05201387	
0.01000000	357.61839921	0.08544897	0.45024289	0.11924842	0.04823272	0.20918979	
0.01000000	200.51063700	0.19010346	1.05612990	0.10422432	0.08244927	0.09293033	
0.01000000	220.46237478	0.05766404	0.42421063	0.05379013	0.04990726	0.10690403	
0.01000000	133.70466198	0.04852215	0.23514219	0.04390656	0.04117146	0.07635222	
0.01000000	78.68601322	0.03977725	0.25800966	0.04193823	0.03403963	0.02883411	
0.01000000	74.41658656	0.02583397	0.19107426	0.04109414	0.02426650	0.02533469	
0.01000000	40.02994614	0.01221760	0.10969472	0.03590019	0.01668016	0.01450419	
0.01000000	26.19414473	0.00981762	0.10419959	0.02648296	0.01220426	0.01315197	
0.01000000	24.73222409	0.01003432	0.08375776	0.02102503	0.01037973	0.00967112	
0.01000000	24.20196990	0.00634113	0.06014520	0.01831346	0.01003466	0.00745018	
0.01000000	19.12470448	0.00431823	0.05941804	0.01506892	0.01129879	0.00429353	
0.01000000	18.04792002	0.00400381	0.04792391	0.01252296	0.01177041	0.00377099	
0.01000000	17.54566923	0.00393169	0.04088860	0.01152247	0.01151488	0.00319641	
0.01000000	17.94584505	0.00350129	0.04243589	0.00986301	0.01168091	0.00284472	
0.01000000	17.55100258	0.00327047	0.04314607	0.00875878	0.01157570	0.00274333	
0.01000000	16.76999480	0.00297197	0.03725542	0.00796681	0.01132066	0.00267096	
0.01000000	16.68592509	0.00277774	0.03461291	0.00737752	0.01151741	0.00234030	
0.01000000	16.68443724	0.00274562	0.03262829	0.00687181	0.01157084	0.00204387	
0.01000000	15.70937205	0.00261308	0.03087121	0.00645569	0.01112687	0.00188297	
0.01000000	15.70375541	0.00243958	0.03042816	0.00579013	0.01102384	0.00199915	
0.01000000	15.57775756	0.00233810	0.02918387	0.00539000	0.01099888	0.00184810	
0.01000000	15.31082099	0.00224715	0.02807543	0.00516661	0.01111302	0.00159957	
0.01000000	14.84339553	0.00218390	0.02751539	0.00474892	0.01080690	0.00152068	
0.01000000	14.59733330	0.00209580	0.02674581	0.00437066	0.01063433	0.00149071	
0.01000000	14.42560817	0.00198428	0.02614139	0.00405269	0.01054319	0.00140421	
